country,mtCO2,population,GDP
China,9135000000.0,1373541278,21140000000000.0
United States,5402000000.0,323995528,18560000000000.0
India,1887000000.0,1266883598,8721000000000.0
Russia,1756000000.0,142355415,3751000000000.0
Japan,1257000000.0,126702133,4932000000000.0
Germany,744000000.0,80722792,3979000000000.0
Iran,650400000.0,82801633,1459000000000.0
"Korea, South",599300000.0,50924172,1934000000000.0
Saudi Arabia,594000000.0,28160273,1731000000000.0
United Kingdom,568300000.0,64430428,2788000000000.0
Canada,564000000.0,35362905,1674000000000.0
Brazil,535000000.0,205823665,3081000000000.0
South Africa,482000000.0,54300704,739100000000.0
Mexico,455000000.0,123166749,2307000000000.0
Indonesia,442000000.0,258316051,3033000000000.0
France,385600000.0,66836154,2699000000000.0
Australia,385000000.0,22992654,1189000000000.0
Italy,362000000.0,62007540,2221000000000.0
Turkey,319000000.0,80274604,1698000000000.0
Thailand,301000000.0,68200824,1161000000000.0
Poland,296000000.0,38523261,1052000000000.0
Ukraine,291000000.0,44209733,352600000000.0
Spain,276000000.0,48563476,1690000000000.0
Kazakhstan,257800000.0,18360353,468800000000.0
United Arab Emirates,245000000.0,5927482,667200000000.0
Malaysia,208000000.0,30949962,863000000000.0
Egypt,207000000.0,94666993,1105000000000.0
Singapore,205000000.0,5781728,487900000000.0
Argentina,202000000.0,43886748,879400000000.0
Venezuela,188000000.0,30912302,468600000000.0
Netherlands,184800000.0,17016967,870800000000.0
Pakistan,145000000.0,201995540,988200000000.0
Vietnam,142000000.0,95261021,594900000000.0
Iraq,137000000.0,38146025,596700000000.0
Algeria,128000000.0,40263711,609400000000.0
Uzbekistan,109000000.0,29473614,202300000000.0
Kuwait,107000000.0,2832776,301100000000.0
Czechia,103000000.0,10644842,350900000000.0
Nigeria,97000000.0,186053386,1089000000000.0
Belgium,93620000.0,11409077,508600000000.0
Qatar,92000000.0,2258283,334500000000.0
Hong Kong,90000000.0,7167403,427400000000.0
Philippines,88000000.0,102624209,807100000000.0
Austria,78900000.0,8711770,416600000000.0
Greece,78000000.0,10773253,290500000000.0
Romania,76000000.0,21599736,441000000000.0
Chile,76000000.0,17650114,436100000000.0
Colombia,74000000.0,47220856,688000000000.0
Belarus,70000000.0,9570376,166000000000.0
Oman,69000000.0,3355262,173100000000.0
Turkmenistan,67000000.0,5291317,94720000000.0
Bangladesh,66000000.0,156186882,628400000000.0
Israel,62500000.0,8174527,297000000000.0
Sweden,62000000.0,9880604,498100000000.0
Libya,57000000.0,6541948,90890000000.0
Serbia,56550000.0,7143921,101800000000.0
Norway,53900000.0,5265158,364700000000.0
"Korea, North",50000000.0,25115311,40000000000.0
Bulgaria,49920000.0,7144653,143100000000.0
