,Date,CCI,BCI,inflation_rate,CSI,inflation_expectation
0,2019-01-01,101.0,100.52,1.6,91.2,2.7
1,2019-01-02,101.0,100.52,1.6,91.2,2.7
2,2019-01-03,101.0,100.52,1.6,91.2,2.7
3,2019-01-04,101.0,100.52,1.6,91.2,2.7
4,2019-01-05,101.0,100.52,1.6,91.2,2.7
5,2019-01-06,101.0,100.52,1.6,91.2,2.7
6,2019-01-07,101.0,100.52,1.6,91.2,2.7
7,2019-01-08,101.0,100.52,1.6,91.2,2.7
8,2019-01-09,101.0,100.52,1.6,91.2,2.7
9,2019-01-10,101.0,100.52,1.6,91.2,2.7
10,2019-01-11,101.0,100.52,1.6,91.2,2.7
11,2019-01-12,101.0,100.52,1.6,91.2,2.7
12,2019-01-13,101.0,100.52,1.6,91.2,2.7
13,2019-01-14,101.0,100.52,1.6,91.2,2.7
14,2019-01-15,101.0,100.52,1.6,91.2,2.7
15,2019-01-16,101.0,100.52,1.6,91.2,2.7
16,2019-01-17,101.0,100.52,1.6,91.2,2.7
17,2019-01-18,101.0,100.52,1.6,91.2,2.7
18,2019-01-19,101.0,100.52,1.6,91.2,2.7
19,2019-01-20,101.0,100.52,1.6,91.2,2.7
20,2019-01-21,101.0,100.52,1.6,91.2,2.7
21,2019-01-22,101.0,100.52,1.6,91.2,2.7
22,2019-01-23,101.0,100.52,1.6,91.2,2.7
23,2019-01-24,101.0,100.52,1.6,91.2,2.7
24,2019-01-25,101.0,100.52,1.6,91.2,2.7
25,2019-01-26,101.0,100.52,1.6,91.2,2.7
26,2019-01-27,101.0,100.52,1.6,91.2,2.7
27,2019-01-28,101.0,100.52,1.6,91.2,2.7
28,2019-01-29,101.0,100.52,1.6,91.2,2.7
29,2019-01-30,101.0,100.52,1.6,91.2,2.7
30,2019-01-31,101.0,100.52,1.6,91.2,2.7
31,2019-02-01,101.06,100.36,1.5,93.8,2.6
32,2019-02-02,101.06,100.36,1.5,93.8,2.6
33,2019-02-03,101.06,100.36,1.5,93.8,2.6
34,2019-02-04,101.06,100.36,1.5,93.8,2.6
35,2019-02-05,101.06,100.36,1.5,93.8,2.6
36,2019-02-06,101.06,100.36,1.5,93.8,2.6
37,2019-02-07,101.06,100.36,1.5,93.8,2.6
38,2019-02-08,101.06,100.36,1.5,93.8,2.6
39,2019-02-09,101.06,100.36,1.5,93.8,2.6
40,2019-02-10,101.06,100.36,1.5,93.8,2.6
41,2019-02-11,101.06,100.36,1.5,93.8,2.6
42,2019-02-12,101.06,100.36,1.5,93.8,2.6
43,2019-02-13,101.06,100.36,1.5,93.8,2.6
44,2019-02-14,101.06,100.36,1.5,93.8,2.6
45,2019-02-15,101.06,100.36,1.5,93.8,2.6
46,2019-02-16,101.06,100.36,1.5,93.8,2.6
47,2019-02-17,101.06,100.36,1.5,93.8,2.6
48,2019-02-18,101.06,100.36,1.5,93.8,2.6
49,2019-02-19,101.06,100.36,1.5,93.8,2.6
50,2019-02-20,101.06,100.36,1.5,93.8,2.6
51,2019-02-21,101.06,100.36,1.5,93.8,2.6
52,2019-02-22,101.06,100.36,1.5,93.8,2.6
53,2019-02-23,101.06,100.36,1.5,93.8,2.6
54,2019-02-24,101.06,100.36,1.5,93.8,2.6
55,2019-02-25,101.06,100.36,1.5,93.8,2.6
56,2019-02-26,101.06,100.36,1.5,93.8,2.6
57,2019-02-27,101.06,100.36,1.5,93.8,2.6
58,2019-02-28,101.06,100.36,1.5,93.8,2.6
59,2019-03-01,101.27,100.23,1.9,98.4,2.5
60,2019-03-02,101.27,100.23,1.9,98.4,2.5
61,2019-03-03,101.27,100.23,1.9,98.4,2.5
62,2019-03-04,101.27,100.23,1.9,98.4,2.5
63,2019-03-05,101.27,100.23,1.9,98.4,2.5
64,2019-03-06,101.27,100.23,1.9,98.4,2.5
65,2019-03-07,101.27,100.23,1.9,98.4,2.5
66,2019-03-08,101.27,100.23,1.9,98.4,2.5
67,2019-03-09,101.27,100.23,1.9,98.4,2.5
68,2019-03-10,101.27,100.23,1.9,98.4,2.5
69,2019-03-11,101.27,100.23,1.9,98.4,2.5
70,2019-03-12,101.27,100.23,1.9,98.4,2.5
71,2019-03-13,101.27,100.23,1.9,98.4,2.5
72,2019-03-14,101.27,100.23,1.9,98.4,2.5
73,2019-03-15,101.27,100.23,1.9,98.4,2.5
74,2019-03-16,101.27,100.23,1.9,98.4,2.5
75,2019-03-17,101.27,100.23,1.9,98.4,2.5
76,2019-03-18,101.27,100.23,1.9,98.4,2.5
77,2019-03-19,101.27,100.23,1.9,98.4,2.5
78,2019-03-20,101.27,100.23,1.9,98.4,2.5
79,2019-03-21,101.27,100.23,1.9,98.4,2.5
80,2019-03-22,101.27,100.23,1.9,98.4,2.5
81,2019-03-23,101.27,100.23,1.9,98.4,2.5
82,2019-03-24,101.27,100.23,1.9,98.4,2.5
83,2019-03-25,101.27,100.23,1.9,98.4,2.5
84,2019-03-26,101.27,100.23,1.9,98.4,2.5
85,2019-03-27,101.27,100.23,1.9,98.4,2.5
86,2019-03-28,101.27,100.23,1.9,98.4,2.5
87,2019-03-29,101.27,100.23,1.9,98.4,2.5
88,2019-03-30,101.27,100.23,1.9,98.4,2.5
89,2019-03-31,101.27,100.23,1.9,98.4,2.5
90,2019-04-01,101.43,100.01,2.0,97.2,2.5
91,2019-04-02,101.43,100.01,2.0,97.2,2.5
92,2019-04-03,101.43,100.01,2.0,97.2,2.5
93,2019-04-04,101.43,100.01,2.0,97.2,2.5
94,2019-04-05,101.43,100.01,2.0,97.2,2.5
95,2019-04-06,101.43,100.01,2.0,97.2,2.5
96,2019-04-07,101.43,100.01,2.0,97.2,2.5
97,2019-04-08,101.43,100.01,2.0,97.2,2.5
98,2019-04-09,101.43,100.01,2.0,97.2,2.5
99,2019-04-10,101.43,100.01,2.0,97.2,2.5
100,2019-04-11,101.43,100.01,2.0,97.2,2.5
101,2019-04-12,101.43,100.01,2.0,97.2,2.5
102,2019-04-13,101.43,100.01,2.0,97.2,2.5
103,2019-04-14,101.43,100.01,2.0,97.2,2.5
104,2019-04-15,101.43,100.01,2.0,97.2,2.5
105,2019-04-16,101.43,100.01,2.0,97.2,2.5
106,2019-04-17,101.43,100.01,2.0,97.2,2.5
107,2019-04-18,101.43,100.01,2.0,97.2,2.5
108,2019-04-19,101.43,100.01,2.0,97.2,2.5
109,2019-04-20,101.43,100.01,2.0,97.2,2.5
110,2019-04-21,101.43,100.01,2.0,97.2,2.5
111,2019-04-22,101.43,100.01,2.0,97.2,2.5
112,2019-04-23,101.43,100.01,2.0,97.2,2.5
113,2019-04-24,101.43,100.01,2.0,97.2,2.5
114,2019-04-25,101.43,100.01,2.0,97.2,2.5
115,2019-04-26,101.43,100.01,2.0,97.2,2.5
116,2019-04-27,101.43,100.01,2.0,97.2,2.5
117,2019-04-28,101.43,100.01,2.0,97.2,2.5
118,2019-04-29,101.43,100.01,2.0,97.2,2.5
119,2019-04-30,101.43,100.01,2.0,97.2,2.5
120,2019-05-01,101.52,99.81,1.8,100.0,2.9
121,2019-05-02,101.52,99.81,1.8,100.0,2.9
122,2019-05-03,101.52,99.81,1.8,100.0,2.9
123,2019-05-04,101.52,99.81,1.8,100.0,2.9
124,2019-05-05,101.52,99.81,1.8,100.0,2.9
125,2019-05-06,101.52,99.81,1.8,100.0,2.9
126,2019-05-07,101.52,99.81,1.8,100.0,2.9
127,2019-05-08,101.52,99.81,1.8,100.0,2.9
128,2019-05-09,101.52,99.81,1.8,100.0,2.9
129,2019-05-10,101.52,99.81,1.8,100.0,2.9
130,2019-05-11,101.52,99.81,1.8,100.0,2.9
131,2019-05-12,101.52,99.81,1.8,100.0,2.9
132,2019-05-13,101.52,99.81,1.8,100.0,2.9
133,2019-05-14,101.52,99.81,1.8,100.0,2.9
134,2019-05-15,101.52,99.81,1.8,100.0,2.9
135,2019-05-16,101.52,99.81,1.8,100.0,2.9
136,2019-05-17,101.52,99.81,1.8,100.0,2.9
137,2019-05-18,101.52,99.81,1.8,100.0,2.9
138,2019-05-19,101.52,99.81,1.8,100.0,2.9
139,2019-05-20,101.52,99.81,1.8,100.0,2.9
140,2019-05-21,101.52,99.81,1.8,100.0,2.9
141,2019-05-22,101.52,99.81,1.8,100.0,2.9
142,2019-05-23,101.52,99.81,1.8,100.0,2.9
143,2019-05-24,101.52,99.81,1.8,100.0,2.9
144,2019-05-25,101.52,99.81,1.8,100.0,2.9
145,2019-05-26,101.52,99.81,1.8,100.0,2.9
146,2019-05-27,101.52,99.81,1.8,100.0,2.9
147,2019-05-28,101.52,99.81,1.8,100.0,2.9
148,2019-05-29,101.52,99.81,1.8,100.0,2.9
149,2019-05-30,101.52,99.81,1.8,100.0,2.9
150,2019-05-31,101.52,99.81,1.8,100.0,2.9
151,2019-06-01,101.42,99.62,1.6,98.2,2.7
152,2019-06-02,101.42,99.62,1.6,98.2,2.7
153,2019-06-03,101.42,99.62,1.6,98.2,2.7
154,2019-06-04,101.42,99.62,1.6,98.2,2.7
155,2019-06-05,101.42,99.62,1.6,98.2,2.7
156,2019-06-06,101.42,99.62,1.6,98.2,2.7
157,2019-06-07,101.42,99.62,1.6,98.2,2.7
158,2019-06-08,101.42,99.62,1.6,98.2,2.7
159,2019-06-09,101.42,99.62,1.6,98.2,2.7
160,2019-06-10,101.42,99.62,1.6,98.2,2.7
161,2019-06-11,101.42,99.62,1.6,98.2,2.7
162,2019-06-12,101.42,99.62,1.6,98.2,2.7
163,2019-06-13,101.42,99.62,1.6,98.2,2.7
164,2019-06-14,101.42,99.62,1.6,98.2,2.7
165,2019-06-15,101.42,99.62,1.6,98.2,2.7
166,2019-06-16,101.42,99.62,1.6,98.2,2.7
167,2019-06-17,101.42,99.62,1.6,98.2,2.7
168,2019-06-18,101.42,99.62,1.6,98.2,2.7
169,2019-06-19,101.42,99.62,1.6,98.2,2.7
170,2019-06-20,101.42,99.62,1.6,98.2,2.7
171,2019-06-21,101.42,99.62,1.6,98.2,2.7
172,2019-06-22,101.42,99.62,1.6,98.2,2.7
173,2019-06-23,101.42,99.62,1.6,98.2,2.7
174,2019-06-24,101.42,99.62,1.6,98.2,2.7
175,2019-06-25,101.42,99.62,1.6,98.2,2.7
176,2019-06-26,101.42,99.62,1.6,98.2,2.7
177,2019-06-27,101.42,99.62,1.6,98.2,2.7
178,2019-06-28,101.42,99.62,1.6,98.2,2.7
179,2019-06-29,101.42,99.62,1.6,98.2,2.7
180,2019-06-30,101.42,99.62,1.6,98.2,2.7
181,2019-07-01,101.2,99.41,1.7,98.4,2.6
182,2019-07-02,101.2,99.41,1.7,98.4,2.6
183,2019-07-03,101.2,99.41,1.7,98.4,2.6
184,2019-07-04,101.2,99.41,1.7,98.4,2.6
185,2019-07-05,101.2,99.41,1.7,98.4,2.6
186,2019-07-06,101.2,99.41,1.7,98.4,2.6
187,2019-07-07,101.2,99.41,1.7,98.4,2.6
188,2019-07-08,101.2,99.41,1.7,98.4,2.6
189,2019-07-09,101.2,99.41,1.7,98.4,2.6
190,2019-07-10,101.2,99.41,1.7,98.4,2.6
191,2019-07-11,101.2,99.41,1.7,98.4,2.6
192,2019-07-12,101.2,99.41,1.7,98.4,2.6
193,2019-07-13,101.2,99.41,1.7,98.4,2.6
194,2019-07-14,101.2,99.41,1.7,98.4,2.6
195,2019-07-15,101.2,99.41,1.7,98.4,2.6
196,2019-07-16,101.2,99.41,1.7,98.4,2.6
197,2019-07-17,101.2,99.41,1.7,98.4,2.6
198,2019-07-18,101.2,99.41,1.7,98.4,2.6
199,2019-07-19,101.2,99.41,1.7,98.4,2.6
200,2019-07-20,101.2,99.41,1.7,98.4,2.6
201,2019-07-21,101.2,99.41,1.7,98.4,2.6
202,2019-07-22,101.2,99.41,1.7,98.4,2.6
203,2019-07-23,101.2,99.41,1.7,98.4,2.6
