,barycenter_0,barycenter_1,barycenter_2
2020-01-02,-0.8631390449075822,2.212262627293034,-0.2793844463698832
2020-01-03,-0.60822920880893,0.8915393112795527,-0.8600525384367901
2020-01-06,-0.05283328847199362,-0.29450361401678116,0.46434930058475693
2020-01-07,-1.0551770102902356,-0.05182642598752357,-0.727252826388649
2020-01-08,-0.8517124917498136,0.24639730025243356,-1.149652175066784
2020-01-09,-1.173638575102815,-0.2506069554800227,-1.4716153400872616
2020-01-10,-1.3250593069292267,-0.617680692404064,-1.3874638713768734
2020-01-13,-1.4675088792885378,-0.5244451619081217,-1.8405091024557114
2020-01-14,-1.5973991727599728,-0.7957908920291629,-1.6099080427932477
2020-01-15,-1.5774864195326428,-1.3610103349922669,-1.6525998970059284
2020-01-16,-1.6014247153285646,-0.9734606072531836,-1.5948340246046362
2020-01-17,-1.5980585792715887,-0.6118806913109448,-1.6075516390480844
2020-01-21,-1.598513256016451,-0.6961052579001911,-1.6071714599371052
2020-01-22,-1.6102833217750687,-0.6956214534596646,-1.6071714599371052
2020-01-23,-1.5917962260160887,-0.6936018255264127,-1.6071714599371052
2020-01-24,-1.7029905666496854,-0.7159627769610521,-1.6071714599371052
2020-01-27,-2.0369763989959617,-0.6947514542138453,-1.6071714599371052
2020-01-28,-1.735258806929402,-0.6952845881387463,-1.6071714599371052
2020-01-29,-1.5894203526041975,-0.6726497420543492,-1.6071714599371052
2020-01-30,-1.522730838338502,-0.8206215254642919,-1.6071714599371052
2020-01-31,-1.5252040195642769,-1.3471812543298425,-1.6071714599371052
2020-02-03,-1.524140137862889,-0.8846493668298667,-1.6071714599371052
2020-02-04,-1.5244619887600945,-0.5295468618929423,-1.6071714599371052
2020-02-05,-1.4969527598025076,0.03460268583905714,-1.6071714599371052
2020-02-06,-1.5357911784619696,-0.38403755636791886,-1.6071714599371052
2020-02-07,-1.5182824986159336,-0.6030786056801745,-1.6071714599371052
2020-02-10,-1.3654352236436615,-0.5976110589751286,-1.6071714599371052
2020-02-11,-1.520063453600549,-0.644474187487722,-1.6071714599371052
2020-02-12,-1.5281459859709352,-0.6037412095352674,-1.6073273499155907
2020-02-13,-1.5375177896662924,-0.6122349200735527,-1.6069296560663695
2020-02-14,-1.5274994598959826,-0.6122349200735527,-1.6107417805119308
2020-02-18,-1.5281692003939544,-0.6122349200735527,-1.5919404092804175
2020-02-19,-1.5276631508012144,-0.6122349200735527,-1.612721785188154
2020-02-20,-1.5276828454672982,-0.6122349200735527,-1.4478211455343821
2020-02-21,-1.5279352534319102,-0.6122349200735527,-1.5947938641771044
2020-02-24,-1.5279352534319102,-0.6122349200735527,-1.6224122803917524
2020-02-25,-1.5279352534319102,-0.6122349200735527,-1.6039033152823157
2020-02-26,-1.5279352534319102,-0.6122349200735527,-1.6047685011088166
2020-02-27,-1.5279352534319102,-0.6122349200735527,-1.6047685011088166
2020-02-28,-1.5279352534319102,-0.6122349200735527,-1.6039136300669892
2020-03-02,-1.5279352534319102,-0.6126565515989804,-1.6079240421142518
2020-03-03,-1.5279352534319102,-0.5956686543100677,-1.5908347852262699
2020-03-04,-1.5279352534319102,-0.7021259422992553,-1.5996978713304006
2020-03-05,-1.5279352534319102,-0.5245852890092231,-1.7150542831139142
2020-03-06,-1.5279352534319102,-0.638709187363628,-1.8365423012165698
2020-03-09,-1.5279352534319102,-0.8146101909161703,-1.9950206790679295
2020-03-10,-1.5279352534319102,-0.7517903241717165,-1.9025406592596805
2020-03-11,-1.5279352534319102,-0.990394555406807,-2.162343205411178
2020-03-12,-1.5279352534319102,-1.399294258920167,-2.6034820475423426
