,barycenter_0,barycenter_1,barycenter_2
2020-01-02,-0.8031315795599682,0.29153910419137813,-0.9031829654683401
2020-01-03,-0.8446964315481927,0.22059274610774518,-0.9669690700891821
2020-01-06,-0.899121738315729,0.15864730681210099,-1.0415150335695684
2020-01-07,-0.8967768411201684,0.16525436036657576,-1.0455836004093741
2020-01-08,-0.8998786223960927,0.16084115941294733,-1.0445859347354005
2020-01-09,-0.8636972427020639,0.22147413811457528,-0.9923006853850098
2020-01-10,-0.8786681720897463,0.20892809770162538,-1.0049726283971634
2020-01-13,-0.8228909953334445,0.29481936021171823,-0.9234163862459187
2020-01-14,-0.817560447531334,0.3028671491577974,-0.9112442655215254
2020-01-15,-0.8231972455723172,0.29383578272946714,-0.9283788872640795
2020-01-16,-0.8258455413157639,0.2932957798406397,-0.9354089885013269
2020-01-17,-0.8383275492446186,0.27489670311095765,-0.9525388681450035
2020-01-21,-0.8301800583037257,0.26966903335136605,-0.9364787800038762
2020-01-22,-0.8002069479890811,0.3064925935406247,-0.9065760919353336
2020-01-23,-0.8013408963299186,0.31068615524047777,-0.9122694894672921
2020-01-24,-0.8584280794074174,0.2081815483373735,-0.9838562566303769
2020-01-27,-0.845428085921629,0.20582069270586487,-0.965814114928122
2020-01-28,-0.8457604670758074,0.22198058612474347,-0.9685700293721741
2020-01-29,-0.8604626591395597,0.18952221041848868,-0.9848479193340007
2020-01-30,-0.8218580506887552,0.21035685405147278,-0.9340291477201018
2020-01-31,-0.8675698254286127,0.14054736338119186,-0.9864773334174216
2020-02-03,-0.8790000584112907,0.12459436578339533,-1.004923886332522
2020-02-04,-0.8818228781670302,0.15014123960036072,-1.0072747481662188
2020-02-05,-0.9173135870916785,0.08523141145029804,-1.0644685329555994
2020-02-06,-0.9279764246498481,0.08095773977089657,-1.0715463101627531
2020-02-07,-0.9496251955605335,0.03528470404391288,-1.0936901257217437
2020-02-10,-0.9917313491379326,-0.005697496800583602,-1.1386482995183307
2020-02-11,-0.9621810621733471,0.05364700357320772,-1.1022170565793812
2020-02-12,-0.9789966749787565,0.03571420014268304,-1.1222963050665458
2020-02-13,-1.006287409628327,-0.003451073466167669,-1.1620423322653461
2020-02-14,-1.0507606643766867,-0.0666234319856883,-1.2179738513371139
2020-02-18,-1.0736332417015042,-0.10935872768849489,-1.239894430431293
2020-02-19,-1.031678633587775,-0.05280909000004481,-1.1877212020935217
2020-02-20,-1.0606071782578355,-0.0864423503128822,-1.21900825542227
2020-02-21,-1.0243310814426492,-0.04934344564073951,-1.1723490901783773
2020-02-24,-1.1149002915003086,-0.1655425498440215,-1.283325749135308
2020-02-25,-1.101114927162192,-0.15812517060188228,-1.2560370699209307
2020-02-26,-1.1070007883370805,-0.18281781628675225,-1.265803491761189
2020-02-27,-1.2126316178346868,-0.3222945911120095,-1.3965870761807315
2020-02-28,-1.228501620753142,-0.3332480164887518,-1.4232210485078889
2020-03-02,-1.195135201142983,-0.2845953170187714,-1.3807802946134053
2020-03-03,-1.1675342819454293,-0.25833899360238577,-1.338074757454358
2020-03-04,-1.1204312822049716,-0.20718773670071655,-1.2915394374588698
2020-03-05,-1.2140745489355886,-0.3417915018430455,-1.4066821327266907
2020-03-06,-1.2342083092239624,-0.3529938874293771,-1.4355866513791926
2020-03-09,-1.3817923734812063,-0.5245017189606658,-1.6068884920242963
2020-03-10,-1.2656844823562532,-0.3653505238947864,-1.462341503088265
2020-03-11,-1.323575108940921,-0.4448491770032733,-1.5423186236545041
2020-03-12,-1.4779328869368917,-0.637472232528596,-1.7118151202218599
2020-03-13,-1.434070727823816,-0.5602646381994244,-1.6595826938220524
2020-03-16,-1.6612192748097456,-0.8331444075876314,-1.9781923769835068
2020-03-17,-1.599586335152426,-0.7716053110219898,-1.8944049124250348
2020-03-18,-1.703849847330306,-0.8886638057928403,-2.0251666661446652
2020-03-19,-1.7149199793315169,-0.9118698796450195,-2.0167135857858685
2020-03-20,-1.7730419459775126,-0.973875417484399,-2.113819436907692
2020-03-23,-1.8441856264771381,-1.0338578522868818,-2.204395747178992
2020-03-24,-1.6909921569731237,-0.8445520802503207,-2.007492265026958
2020-03-25,-1.7082304282074599,-0.8599019556129027,-2.0137327141135137
2020-03-26,-1.652950743225528,-0.7972442481956127,-1.9341129132185144
2020-03-27,-1.7139802617518056,-0.8818460609222484,-2.013265386336723
2020-03-30,-1.7733448452854539,-0.9609680871733384,-2.1042251628597946
2020-03-31,-1.7505446188064249,-0.9360992193145783,-2.0824016076897864
2020-04-01,-1.8315674418371823,-1.0476641085529161,-2.201825910089711
2020-04-02,-1.7951626201805335,-1.0075049385145776,-2.144969805025668
2020-04-03,-1.8488623830442348,-1.0629746178437043,-2.2177172422712568
2020-04-06,-1.775404578385517,-0.9500174644030582,-2.116306516145998
2020-04-07,-1.7548423760806555,-0.9078098760772602,-2.0837798890621033
2020-04-08,-1.7353270558437648,-0.8845603265556795,-2.0582531613449953
2020-04-09,-1.6837944197030035,-0.8237562810579991,-1.976166265102135
2020-04-13,-1.7376310419218532,-0.8827752978828476,-2.059987301275167
2020-04-14,-1.6742067000966143,-0.7965905854196377,-1.9804100504880497
2020-04-15,-1.6760039362723183,-0.7872588077812493,-1.9832505587516263
2020-04-16,-1.6865028459665534,-0.8257789488483013,-1.9957846001908157
2020-04-17,-1.605423491208876,-0.7278034793637953,-1.8890984832522957
2020-04-20,-1.6367325317749148,-0.7500940873301191,-1.9366675126929143
2020-04-21,-1.6181314731568253,-0.7500342150649193,-1.9119282063130503
2020-04-22,-1.6075192278846486,-0.7318344393643242,-1.894985690191565
2020-04-23,-1.612706336540776,-0.7315279054428855,-1.902715049188603
2020-04-24,-1.5714526053328983,-0.6969583737046465,-1.8426603259302687
2020-04-27,-1.5437769493518738,-0.6729955049776571,-1.8066764761179508
2020-04-28,-1.5391001191062124,-0.6801267741968965,-1.801120341296655
2020-04-29,-1.5402996101702706,-0.6614034127667715,-1.8031280125673592
2020-04-30,-1.5458704040562314,-0.6524803081185184,-1.8040245492666276
2020-05-01,-1.5235934184422355,-0.6430593652109556,-1.7818874743917852
2020-05-04,-1.5067244347637834,-0.6026004424687554,-1.7506026200264173
2020-05-05,-1.5002224925084222,-0.6125484621032141,-1.7483872419110982
2020-05-06,-1.5196087655388761,-0.6088796717909217,-1.7635240878308343
2020-05-07,-1.5113875436055288,-0.5853259963754817,-1.7462916021729613
2020-05-08,-1.4829353775128875,-0.5455972111024093,-1.7119708570678807
2020-05-11,-1.4656151821743812,-0.5193619656990462,-1.6846552545066769
2020-05-12,-1.4710414725755796,-0.5342089747007045,-1.7000889769375287
2020-05-13,-1.4914031743751048,-0.5529678745882476,-1.7172665650156964
2020-05-14,-1.463611402590682,-0.5171500144312486,-1.672688715209446
2020-05-15,-1.4221433512844934,-0.4571093711000488,-1.6230843218446986
2020-05-18,-1.3609652848103568,-0.38847680912571686,-1.53514255200421
2020-05-19,-1.3839622382755787,-0.42004920958528424,-1.5671674077322182
2020-05-20,-1.423129919570646,-0.4650272051303388,-1.6084997142342674
2020-05-21,-1.418131728530445,-0.47130606203215486,-1.594296225384797
2020-05-22,-1.426060500589055,-0.4780643458765205,-1.6108870994957465
2020-05-26,-1.4215742406631269,-0.4698960384636599,-1.5978757205403822
2020-05-27,-1.3271998599637997,-0.3496064449614624,-1.4766614974610848
2020-05-28,-1.4017515747410834,-0.4395566237569388,-1.5669183312083488
2020-05-29,-1.3365620747325888,-0.3538860887219474,-1.4860844224190735
2020-06-01,-1.3286499709569306,-0.3472712690382151,-1.4841914606449775
2020-06-02,-1.3199727785380295,-0.32883168433484683,-1.464048862013625
2020-06-03,-1.3756443807453744,-0.3949182087487851,-1.517528697626378
2020-06-04,-1.3865179695510395,-0.39524000240275436,-1.5406178715532837
2020-06-05,-1.395876377737823,-0.3993644052734263,-1.5502579459933101
2020-06-08,-1.4443212640507057,-0.44403551797253205,-1.6000891649004783
2020-06-09,-1.3763197543418404,-0.34764234605065536,-1.5042472435906442
2020-06-10,-1.5167711801082508,-0.5199108147283996,-1.6996586555986621
2020-06-11,-1.5666520544470348,-0.5976084257931531,-1.762928160559767
2020-06-12,-1.6151664337621627,-0.629374568527601,-1.814641587157321
2020-06-15,-1.562903705959566,-0.5628331013072313,-1.743908608045576
2020-06-16,-1.5742222877153687,-0.5736090339889286,-1.7650229220375315
2020-06-17,-1.597034389648212,-0.585838952040199,-1.7842262954877395
2020-06-18,-1.5553578962351717,-0.5429313622858374,-1.7342198872420669
2020-06-19,-1.5238105006908942,-0.48416092490762846,-1.6740319454519494
2020-06-22,-1.436304861653599,-0.3775588489496568,-1.5707844148497636
2020-06-23,-1.4378277343930552,-0.3827214043166894,-1.5570200904366194
2020-06-24,-1.480196425978102,-0.44411691994135816,-1.615607450460995
2020-06-25,-1.5180067869537597,-0.5002530038825996,-1.672359321963089
2020-06-26,-1.547058456546812,-0.5298163561953207,-1.7170412242415931
2020-06-29,-1.5082887165129975,-0.49218103505819766,-1.67597759803168
2020-06-30,-1.4805067463743344,-0.44202552336543305,-1.6270916181390378
2020-07-01,-1.4391753756025865,-0.3798200545526814,-1.562034523177698
2020-07-02,-1.439901822293292,-0.37733413768116403,-1.5618633001692086
2020-07-06,-1.40380014203241,-0.32117173537283916,-1.5100461037645863
2020-07-07,-1.3761118432326314,-0.29863395029166195,-1.477374108805757
2020-07-08,-1.3374061312438763,-0.2353890925670945,-1.4203784409321674
2020-07-09,-1.330593889179963,-0.22518824557271408,-1.4099642669898789
2020-07-10,-1.3171287584607785,-0.21261264153111506,-1.3981570841539228
2020-07-13,-1.3258107512785704,-0.23549915404116126,-1.4049390961250028
2020-07-14,-1.2744799819701813,-0.18328089920731824,-1.3501504429701336
2020-07-15,-1.236764849350347,-0.1117843404353286,-1.28588044535597
2020-07-16,-1.2688554764477302,-0.1660499567775712,-1.3215437608663665
2020-07-17,-1.2317786434593567,-0.13098396554720432,-1.2750196026823923
2020-07-20,-1.2405754379048781,-0.12710425278166615,-1.2856677412255235
2020-07-21,-1.2243542455463094,-0.1317321341842906,-1.2720213601645198
2020-07-22,-1.1712772871901325,-0.06612219039354805,-1.1831313356477873
2020-07-23,-1.2003589854614896,-0.10754488798264299,-1.2161474897007
2020-07-24,-1.1789344387605516,-0.08468033047071535,-1.1931123272199802
2020-07-27,-1.1875056859647748,-0.07567165490694465,-1.1982612768993535
2020-07-28,-1.1853384314833764,-0.09574405323353924,-1.2065100048323225
2020-07-29,-1.1607948922069196,-0.04447211380274253,-1.1535657350492305
2020-07-30,-1.1726583691439676,-0.0659186234787394,-1.1690275138782331
2020-07-31,-1.1811924352885008,-0.08043087778691158,-1.1760981644558584
2020-08-03,-1.1767996074279987,-0.05434210577597253,-1.165240964970339
2020-08-04,-1.1743354867031777,-0.056837353392767104,-1.167366613269334
2020-08-05,-1.1680447543142558,-0.04003719782676976,-1.1472477827171113
2020-08-06,-1.1823036256055448,-0.055715018415933876,-1.1649287025267991
2020-08-07,-1.1843314040485826,-0.07694586349957967,-1.1613413515207258
