,barycenter_0,barycenter_1,barycenter_2
2020-01-02,-0.6581280118840188,0.5265191885751933,-0.6052989746844114
2020-01-03,-0.6808142416780563,0.5027519856568219,-0.6233789238456204
2020-01-06,-0.7035084684792683,0.47897601491173986,-0.6414655746740432
2020-01-07,-0.7262091230925759,0.4551928467762341,-0.6595577618967973
2020-01-08,-0.7489144102321156,0.43140429127865426,-0.6776541495759312
2020-01-09,-0.7716223260694306,0.40761239305102037,-0.6957532406568799
2020-01-10,-0.7943306661356937,0.3838194154538263,-0.713853384529567
2020-01-13,-0.8170369983142468,0.3600278790936133,-0.7319527648416988
2020-01-14,-0.8397386427392953,0.33624057808240465,-0.7500493868316654
2020-01-15,-0.8624326159558837,0.31246062573094585,-0.768141031454039
2020-01-16,-0.8851156146627659,0.2886914666033982,-0.786225244753127
2020-01-17,-0.9077840726026641,0.26493684617835483,-0.8042993750336651
2020-01-21,-0.9304342461563615,0.2412007371855456,-0.8223606266942215
2020-01-22,-0.9530622639747097,0.21748728952297422,-0.8404060927604805
2020-01-23,-0.9756641011204009,0.19380084996026573,-0.8584327301914159
2020-01-24,-0.9982355407491967,0.17014600147653747,-0.8764373245754613
2020-01-27,-1.0207721933619467,0.14652754445980617,-0.8944165065313117
2020-01-28,-1.0432695077423932,0.12295046275988866,-0.9123667622261781
2020-01-29,-1.0657227030266896,0.09941999549970723,-0.9302843756473236
2020-01-30,-1.0881267897525695,0.07594162982885978,-0.9481654495173496
2020-01-31,-1.1104765756898465,0.052521088182094146,-0.9660059164520483
2020-02-03,-1.132766621814113,0.02916435140679483,-0.9838015127002046
2020-02-04,-1.1549912100537132,0.005877683635858228,-1.0015477513793773
2020-02-05,-1.1771443987175882,-0.017332424945137873,-1.0192399683255606
2020-02-06,-1.199220123252307,-0.04045937415386455,-1.0368734002600242
2020-02-07,-1.221212339982987,-0.06349659627771084,-1.0544432962547978
2020-02-10,-1.2431150791744054,-0.08643761029350377,-1.071944948318615
2020-02-11,-1.2649224859169494,-0.10927604711148156,-1.0893737274310886
2020-02-12,-1.2866289294848534,-0.13200575398659312,-1.1067251805412952
2020-02-13,-1.3082290670787349,-0.15462086182507695,-1.1239950863423398
2020-02-14,-1.3297179646520105,-0.1771159299339625,-1.1411795428543268
2020-02-18,-1.3510912679806946,-0.19948612022853104,-1.1582750941249755
2020-02-19,-1.372345430530056,-0.22172743843979217,-1.1752788953419038
2020-02-20,-1.393477910158143,-0.24383695715493206,-1.1921888581560274
2020-02-21,-1.4144873315810247,-0.2658130115359924,-1.2090037811781875
2020-02-24,-1.435373743358174,-0.2876554575644048,-1.2257235468268803
2020-02-25,-1.4561388246293765,-0.3093658655523314,-1.2423492867697494
2020-02-26,-1.4767861160169011,-0.33094773739237215,-1.258883553708715
2020-02-27,-1.4973211382352003,-0.3524066469302993,-1.2753304058625814
2020-02-28,-1.517751695906623,-0.3737505783820587,-1.2916956206142698
2020-03-02,-1.5380882257856512,-0.3949903305712941,-1.3079869592253857
2020-03-03,-1.5583443008040352,-0.4161400909220305,-1.3242145615141867
2020-03-04,-1.5785375333152434,-0.43721837744654596,-1.3403916433612302
2020-03-05,-1.5986902810271044,-0.45824878714944484,-1.3565350429632703
2020-03-06,-1.618830702555018,-0.4792610919175441,-1.3726660684200664
2020-03-09,-1.638993413803317,-0.5002919372214417,-1.3888110751875269
2020-03-10,-1.6592193325748237,-0.5213847259032474,-1.4050014481294117
2020-03-11,-1.6795539479017183,-0.5425879427738762,-1.421272409731868
2020-03-12,-1.7000436759187332,-0.563951573818425,-1.4376604402621234
2020-03-13,-1.720729026940844,-0.5855203510961247,-1.4541983021558489
2020-03-16,-1.7416370946359614,-0.6073266399093187,-1.470909483035578
2020-03-17,-1.7577306613606498,-0.6236643200076907,-1.4839369083876794
2020-03-18,-1.7735378878243029,-0.6396394983633658,-1.4967426836783706
